Option Name,Contact,Address,Size_1Bedroom,Size_2Bedrooms,Rent,Rent_1Bedroom,Rent_2Bedrooms,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
[RiDE at RiNo](https://www.apartments.com/ride-at-rino-denver-co/91441v7/),844-412-4801,"[3609 Wynkoop St, Denver, CO 80216](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3609+Wynkoop+St,+Denver,+CO+80216/data=!4m2!4m1!3e2)",,,"$1,379 - 2,100",,,"Dogs Allowed We welcome furry family members! We currently do not have any size, age, or weight restrictions for your pup, but do have breed restrictions in accordance to local ordinance and laws. Please contact our team for specific restrictions.  * $100 Deposit * $39 Monthly Pet Rent * $250 Fee * 2 Pet Limit",25.6 mi,30 mins,Surface Lot: $90 Assigned Parking. Reserved Surface Lot is Limited,* Fitness Center * Walking/Biking Trails * Gameroom,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Stainless Steel Appliances * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 24-hour Fitness Center * Amazing Views* * Contemporary Finishes in Each Home * Courteous On-Site Management and Maintenance * Custom Local Artwork * DIY Bike Repair Station * Efficient Appliances * Efficient Studio and Live/Work Homes * EV Charging Stations * Furnished Apartments Available * High Ceilings * Lobby Lounge with Seating Areas * On-Site Storage Spaces Available * Oversized Windows * Patio/Balcony* * Pet Friendly * Private Conference Room Available * Relaxing Outdoor Lounging Spaces and BBQ Area * Resident Community Events & Programming * Sky Deck Rooftop Lounge * Smoke-Free Community * Top Floor Clubroom * Top Floor Community Social Space * Underground Parking * Wood-Style Plank or Polished Concrete Flooring*,* High Speed Internet Access * Air Conditioning * Heating * Smoke Free * Cable Ready * Storage Units * Tub/Shower * Sprinkler System * Wheelchair Accessible (Rooms),* Vinyl Flooring * Bay Window * Views * Double Pane Windows,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",* Laundry Facilities * Controlled Access * Property Manager on Site * Furnished Units Available * Planned Social Activities * Car Charging Station,* Built in 2019 * 84 Units/5 Stories * Furnished,* Elevator * Clubhouse * Lounge * Multi Use Room * Storage Space * Disposal Chutes * Conference Room * Corporate Suites,* Roof Terrace * Grill * Balcony * Grill
[Parc Mosaic Apartment Homes](https://www.apartments.com/parc-mosaic-apartment-homes-boulder-co/m53thtj/),855-855-7761,"[5290 Arapahoe Ave, Boulder, CO 80303](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/5290+Arapahoe+Ave,+Boulder,+CO+80303/data=!4m2!4m1!3e2)",679 Sq Ft,"1,101 Sq Ft","$1,650 - 10,751",1925-3082,2695-10751,"Dogs Allowed: Our pet-friendly apartments and townhomes welcome most breeds of dogs. However, because certain dogs do not thrive in a community environment, we cannot accommodate the following breeds, dogs resembling these breeds, or mixes of these breeds: Akita, American Staffordshire Terrier, Bull Terrier, Chow, Doberman, German Shepherd, Husky, Pit Bull, Presa Canario, Rottweiler and Wolf Hybrid. We also cannot accommodate exotic pets, such as snakes, rabbits, pigs, ferrets, monkeys, venomous or otherwise poisonous animals. Please ask the leasing team for more details.  * $75 Monthly Pet Rent * $350 Fee * 500 lb Weight Limit * 2 Pet Limit",1.65 mi,5 mins,Garage: $100 Assigned Parking. Reserved parking for residents is available in our private underground parking garage.,* Fitness Center * Pool,* Refrigerator,* Barbecue Areas * Bike Maintenance Station * Cat Friendly * Controlled Access Building * Courtyard * Dog Friendly * Electric Car Charging Stations * Fingerprint Entry to Common Areas * Gas Stove * GE Cafe Stainless Steel Appliances * Guarantors Welcome * Keyless Entry * LEED Certified * Modern Kitchen * On-site Maintenance * On-site Management * On-site Recycling * Outdoor Fireplace Lounge * Quartz Countertops * Rock Climbing Wall * Roller Shades * Rooftop Terrace * Running Path * Secure Bike Storage * Self-serve Pet Wash * Ski Storage * Smart Door Lock * Smart Home Technology * Smart Package 365 * Smart Thermostat * Smoke-Free * USB Outlet * Virtual Fitness * Walk-in Closet with Custom Built-in Organization * Wi-Fi in Common Areas * Wood Plank Flooring,* Washer/Dryer * Fireplace,,We offer lease terms of up to 24 months with longer leases available by request. Ask us for details!,* Pet Play Area,* Built in 2019 * 226 Units,* Elevator * Clubhouse * Storage Space,* Roof Terrace * Grill * Balcony * Patio
[Haven 124 At Eastlake Station](https://www.apartments.com/haven-124-at-eastlake-station-northglenn-co/d9k1g3k/),720-636-9792,"[12255 Claude Ct, Northglenn, CO 80241](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/12255+Claude+Ct,+Northglenn,+CO+80241/data=!4m2!4m1!3e2)",783 Sq Ft,"1,037 Sq Ft","$1,291 - 2,209",1291-1299,1451-1743,"Dogs and Cats Allowed: We welcome a maximum of 2 pets per apartment home. A non-refundable Pet Fee of $200 and a Pet Deposit of $200 are required per pet and are due at move-in. Monthly pet rent is $40 per pet. Breed restrictions apply. For more information, please call our leasing office.  * $400 Deposit * $80 Monthly Pet Rent * $200 - 400 Fee * 2 Pet Limit",22.2 mi,31 mins,"Surface Lot 1 space. Surface Lot, Covered Parking Available, Garages Available at $35. Please call for details.",* Fitness Center * Spa * Pool * Playground * Putting Greens * Media Center/Movie Theatre,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Microwave * Refrigerator,,* Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower * Fireplace * Wheelchair Accessible (Rooms),* Hardwood Floors * Crown Molding * Walk-In Closets,None,* Package Service * Wi-Fi at Pool and Clubhouse * Property Manager on Site * Pet Care * Pet Play Area * Pet Washing Station,* Built in 2002 * 562 Units/3 Stories,* Business Center * Clubhouse,* Grill * Balcony * Patio
[Parkhouse](https://www.apartments.com/parkhouse-thornton-co/8tdkfx3/),844-380-5513,"[14310 Grant St, Thornton, CO 80023](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/14310+Grant+St,+Thornton,+CO+80023/data=!4m2!4m1!3e2)",711 - 743 Sq Ft,969 - 995 Sq Ft,"$1,282 - 6,423",1282-4777,1687-4733,Dogs and Cats Allowed * $150 Deposit * $30 Monthly Pet Rent * $200 Fee * 2 Pet Limit,20.799999999999997 mi,25 mins,Surface Lot Assigned Parking. ree open parking. Garages available from $125 - $300 per month. Contact the leasing office for more details,* Fitness Center * Spa * Pool * Playground * Bike Storage,* Dishwasher * Disposal * Stainless Steel Appliances * Island Kitchen * Microwave * Range * Refrigerator,* 24hr. Emergency maintenance * 9' Ceilings * Bark Park * BBQ Grills * BBQ/Picnic Area * Bike & Ski Repair Shop * Bike and Ski Repair Shop * Bike rack or bike storage * Cabanas * Cabanas with BBQ Grill * Ceiling fans in master bedrooms * Central Heat & Air * Cherrywood cabinets * Community Garden * Deep undermount sinks and gooseneck faucets * Dog Wash and Dog Park * Floor to ceiling windows * Full-size washer and dryer in every apartment * Fully Equipped Stainless Steel Kitchens * Garbage disposal * Gourmet demonstration kitchen * Granite Counters and kitchen islands * Granite Countertops * Hardwood Style Flooring * High Speed Internet * Kitchen island * Modern Cabinetry * Modern Cabinetry Throughout * Outdoor fireplace and TV at pool deck * Outdoor Kitchen * Package Acceptance * Parking Garage * Pet Friendly * Pet Spa * Plank flooring * Private patio/balcony * Private Patios and Balconies * Rentable Bikes * Rentable Storage Units * Showers w/tile throughout * Stainless steel appliances * Storage Available * Two billiards and lounge rooms * Two Clubhouses * Two Spas * Two Swimming Pools * Under-cabinet lighting * Undermount Sinks * Vaulted ceilings (in select units) * Walk-in Closets,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Storage Units,* Vaulted Ceiling * Walk-In Closets,None,* Pet Play Area * Pet Washing Station * Car Charging Station,* Built in 2016 * 465 Units/3 Stories,* Business Center * Clubhouse * Lounge * Storage Space,* Picnic Area * Grill
[Solana Olde Town Station](https://www.apartments.com/solana-olde-town-station-arvada-co/8ekv7h3/),844-790-1084,"[6875 W 56th Ave, Arvada, CO 80002](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/6875+W+56th+Ave,+Arvada,+CO+80002/data=!4m2!4m1!3e2)",787 Sq Ft,"1,190 Sq Ft","$1,581 - 2,789",1581-1875,2079-2330,"Dogs and Cats Allowed: We welcome 3 pets per apartment home (max of 2 dogs only). Breed restrictions apply. We accept cats and dogs. There is a $30 monthly pet rent. There is also a $100 pet deposit (refundable) for each pet, and a one-time pet fee of $250 (non-refundable) for the first pet and $150 (non-refundable) for each additional pet. Please call our leasing office for more details.  * $300 Deposit * $30 Monthly Pet Rent * $250 Fee * 3 Pet Limit",20.65 mi,30 mins,Surface Lot Direct access garages available. Please call our leasing office for more details.,* Fitness Center * Spa * Pool * Basketball Court,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Pantry * Island Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,"* *In Select Units * 100% Non-Smoking Community * 24 Package Accessibility * 24-Hour Package Accessibility * Adjacent To Neighborhood Park & Walking Trail ... * BBQ Grill * BBQ/Picnic Area * Bike, Ski & Snowboard Repair Station * Cyber Cafe * Deck * Dedicated Yoga & Spin Rooms With Fitness on Demand * Dog Wash & Dog Park * Electric Car Charging Stations * Fees or Deposit * Full Size Washer & Dryer * Golf Simulator * Indoor & Outdoor Bar With Outdoor Living Rooms ... * Indoor Lounge * Key Pad * Lawn * LED Lighting * LEED Silver Certified * Low Pile Carpet In Bedrooms * Model Home to View * Outdoor Kitchen With Pizza Oven * Oversized Windows With European Style Roller ... * Pet Washing Station * Pizza Oven * Quartz Countertops * Remote Control * Size of Model Home * Smart Card * Spanish Speaking Staff * Stainless Steel Appliances * Swingtrack Widescreen HD Golf, Hockey, ... * Town House Property Only * Under Cabinet & Pendant Lighting * Walk In Closets * Walk-In Closets * Walking Distance To Historic Olde Town & Olde ... * Wood-Style Flooring In Main Living Areas * Yoga and Spin Room",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Tub/Shower * Framed Mirrors,* Carpet * Vinyl Flooring * Walk-In Closets * Window Coverings,"6 months,7 months,9 months,12 months,13 months",* Maintenance on site * Pet Care,* Built in 2017 * 352 Units/3 Stories * LEED Certified Silver,* Business Center * Clubhouse * Lounge,* Balcony * Patio
[Delo Apartments](https://www.apartments.com/delo-apartments-louisville-co/62mernt/),720-506-2986,"[1140 Cannon St, Louisville, CO 80027](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1140+Cannon+St,+Louisville,+CO+80027/data=!4m2!4m1!3e2)",703 Sq Ft,"1,250 Sq Ft","$1,140 - 2,883",1512-1818,2645,Dogs and Cats Allowed: We welcome 2 pets per apartment home. There is a pet fee of $300 and pet rent of $30. Please call for complete pet policy information. Non-Refundable Pet Fee is an additional $200 for the second pet.  * $30 Monthly Pet Rent * $300 Fee * 2 Pet Limit * Must Be Spayed/Neutered,8.850000000000001 mi,18 mins,Surface Lot 130 spaces. 1 surface-level parking permit included with all apartments.,* Fitness Center,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Stainless Steel Appliances * Pantry * Island Kitchen * Eat-in Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer * Breakfast Nook,"* 3 Tone Paint Scheme * Balcony or Patio * Beer on tap * Beer Tap * Car Charging Stations * Clubhouse with Gourmet Chef Kitchen * Coat Closet * Coat Closet* * Conference Room * Custon Barn Doors* * Doors * Double Sink Vanity * Double Vanity Sinks* * Fireplace with tile surround* * Full-Size Washer and Dryer * Garage Units * Hard-Plank Flooring * Indoor-Outdoor Entertainment Space with ... * Kitchen island * Kitchen Island* * Landscaped Streetscape (Woonerf) * large walk in closet * Modern Pendant Lighting * New Full size washer / dryer * Non Smoking Community * Onsite Recycling * Outdoor Green Spaces and Courtyard * Oversized Floor-to-Ceiling Windows * Oversized windows * Paint Upgrade * Patio/Balcony * Pedestrian Friendly, Woonerf Streetscape * Pendant Lighting * Pet-Friendly Community * Plank Flooring * Planned Social Events * Quartz counters in Kitchen & Bath * Quartz Countertops * Stainless Appliances * Stainless Steel Appliances * Storage Units * Valet Trash * Walk-in Closet*",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Smoke Free * Cable Ready * Storage Units * Double Vanities * Tub/Shower * Fireplace * Handrails * Sprinkler System * Framed Mirrors * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Tile Floors * Vinyl Flooring * Dining Room * Views * Walk-In Closets * Window Coverings,"3 months,6 months,7 months,9 months,12 months,13 months",* Package Service * Controlled Access * Maintenance on site * Property Manager on Site * 24 Hour Availability * Trash Pickup - Door to Door * Recycling * Renters Insurance Program * Dry Cleaning Service * Online Services * Planned Social Activities * Guest Apartment * Car Charging Station,* Built in 2017 * 130 Units/3 Stories,* Clubhouse * Lounge * Multi Use Room * Conference Room,* Courtyard * Balcony * Patio * Lawn
[Touchstone Modern Apartment Homes](https://www.apartments.com/touchstone-modern-apartment-homes-broomfield-co/rz5el82/),855-400-6254,"[11996 Ridge Pky, Broomfield, CO 80021](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/11996+Ridge+Pky,+Broomfield,+CO+80021/data=!4m2!4m1!3e2)",687 Sq Ft,"1,172 Sq Ft","$1,479 - 8,755",1479-4094,1845-5302,"Dogs and Cats Allowed: The following dog breeds and any hybrid thereof are not permitted: Akita, Alaskan malamute,American Bulldog,Chow,Doberman Pincher, German Shepherd,Giant Schnauzer,Great Dane,Husky,Wolf,Mastiff,Pit Bull/Staffordshire/ Terrier,Rottweiler,Shar-Pei and St. Bernard. <br>Exotic (ferrets, snakes, rodents, lizards) or poisonous animals (tarantulas, insects, and certain types of fish) are not permitted. <br><b>Deposit:</b>$250/1pet, $350/2pets<br><b>Pet Fee:</b>$250<br><b>Pet rent:</b>$25/pet  * $250 Deposit * $25 Monthly Pet Rent * $250 Fee * 100 lb Weight Limit * 2 Pet Limit",12.850000000000001 mi,19 mins,Surface Lot and Other,* Fitness Center * Spa * Pool * Volleyball Court * Walking/Biking Trails * Gameroom,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Stainless Steel Appliances * Pantry * Island Kitchen * Eat-in Kitchen * Microwave * Oven * Refrigerator * Freezer,* 9 ft. Ceilings with Ceiling Fans * Bark Park and Paw Spa * Bike and Ski Repair Station * Bike Lockers and Racks * Bike/Ski Workshop * Built-In Desks* * Catering Kitchen & Dining Room * Covered Outdoor Cooking & Dining * Custom Kitchen Cabinetry with Designer Pulls * Direct Access Garages* * Double Sink Vanities* and Walk-In Showers* * Fitness on Demand Classes * Framed Vanity Mirrors * Full Size Washer & Dryer * Full Size Washer & Dryer* * Glass Tiled Kitchen Backsplash * Gooseneck Kitchen Faucet with Integrated Sprayer * Indoor Yoga Studio * Kitchen Pantries * Large Patios/Balconies * Master Bath Featuring Oval Garden Soaking Tubs * Master Bath Featuring Oval Soaking Tubs * Pendant & Under Cabinet Lighting in Kitchens * Plush Carpeting in Bedrooms * Premium Granite Countertops * Private Garages & Carports * Relaxing Fire and Water Features * Smart Home Automation * Social Calendar with Events * Stainless Steel GE Energy Star Appliances * Undermount Sinks in Kitchens and Baths * USB Outlets * Walk-In Utility Rooms* * Wood-Style Blinds,* High Speed Internet Access * Washer/Dryer * Washer/Dryer Hookup * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Double Vanities * Tub/Shower * Sprinkler System * Framed Mirrors,* Hardwood Floors * Carpet * Dining Room * Den * Views * Walk-In Closets * Linen Closet * Double Pane Windows * Window Coverings,None,* Package Service * Wi-Fi at Pool and Clubhouse * Maintenance on site * Property Manager on Site * 24 Hour Availability * Recycling * Online Services * Planned Social Activities * Pet Play Area * Pet Washing Station,* Built in 2017 * 292 Units/3 Stories,* Business Center * Clubhouse * Lounge * Conference Room,* Picnic Area * Balcony * Patio * Grill
[Dylan RiNo Apartments](https://www.apartments.com/dylan-rino-apartments-denver-co/49r6vxh/),303-515-7525,"[3201 Brighton Blvd, Denver, CO 80216](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/3201+Brighton+Blvd,+Denver,+CO+80216/data=!4m2!4m1!3e2)",704 - 749 Sq Ft,"1,112 - 1,170 Sq Ft","$1,395 - 3,845",1515-2560,2240-3845,Dogs Allowed: No aggressive breads  * $75 Deposit * $35 Monthly Pet Rent * $250 Fee * 75 lb Weight Limit * 2 Pet Limit,25.65 mi,29 mins,Surface Lot 1 space; Assigned Parking.,* Fitness Center * Spa * Pool,* Dishwasher * Disposal * Stainless Steel Appliances * Pantry * Island Kitchen * Eat-in Kitchen * Kitchen * Microwave * Range * Refrigerator * Freezer,* Bicycle Repair Shop and Storage * Built in Wine Refrigerators * Custom Mud Bench at Entry* * Frameless Glass Showers * Gas Range * Outdoor Theater * Private Speakeasy * Ski&Snowboard Repair Shop and Storage * Soaring 9’-14’ Ceilings * USB Charging Stations * walking distance to Great Divide Brewery,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Satellite TV * Storage Units * Double Vanities * Sprinkler System * Framed Mirrors * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Vinyl Flooring * Built-In Bookshelves * Vaulted Ceiling * Views * Walk-In Closets * Window Coverings,"9 months, 10 months, 11 months, 12 months, 13 months",* Controlled Access * Trash Pickup - Door to Door * Pet Washing Station * Public Transportation,* Built in 2016 * 274 Units/5 Stories,* Elevator * Business Center * Clubhouse,* Sundeck * Courtyard * Grill * Balcony * Grill
[Verra West](https://www.apartments.com/verra-west-longmont-co/mxbx87k/),888-339-2701,"[1420 Renaissance Dr, Longmont, CO 80503](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/1420+Renaissance+Dr,+Longmont,+CO+80503/data=!4m2!4m1!3e2)",667 Sq Ft,"1,022 Sq Ft","$1,438 - 2,557",1438-1579,1820-2084,"Dogs Allowed: There is a $250 non-refundable fee per pet and $25 monthly pet rent per pet. Our breed restrictions do not allow the following breeds (or mixes of these breeds): Pit- Bull, Rottweiler, and Doberman. $250 non-refundable fee per pet and $25 monthly pet rent per pet  * $50 Monthly Pet Rent * $250 - 500 Fee * 2 Pet Limit",11.8 mi,18 mins,Covered: $85 Assigned Parking.,* Fitness Center * Spa * Pool * Playground * Bike Storage,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* Air Conditioning * Bike Repair Shop * Business Center * Community Garden * Dog Park * Fire Pit * Floor to ceiling windows * Outdoor Kitchen * Pavilion * Pavillion * Pet Washing Station * Pool * Yoga Room,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Tub/Shower * Sprinkler System,* Vinyl Flooring * Walk-In Closets,"3 months,6 months,7 months,9 months,12 months,13 months",* Package Service * Wi-Fi at Pool and Clubhouse * Maintenance on site * Property Manager on Site * Online Services * Pet Play Area * Pet Washing Station,* Built in 2017 * 276 Units/3 Stories,* Business Center * Clubhouse * Lounge,* Courtyard * Lawn * Grill * Garden
[Sync 36 I](https://www.apartments.com/sync-36-i-westminster-co/0m5tg23/),844-275-0500,"[6963 W 109th Ave, Westminster, CO 80020](https://www.google.com/maps/dir/1710+29th+St,+Boulder,+CO+80301/6963+W+109th+Ave,+Westminster,+CO+80020/data=!4m2!4m1!3e2)",750 Sq Ft,"1,045 Sq Ft","$1,515 - 3,000",1515-2720,1880-3000,"Dogs and Cats Allowed: Pet Types Allowed: Dogs, Cats, Fish, Caged Birds. Pet Fees and Deposits Vary by Property. Please contact the appropriate leasing office with any questions. Assistance animals are always welcome without deposit or fee.  * 2 Pet Limit",14.65 mi,19 mins,Surface Lot 1 space.,* Fitness Center * Spa * Pool * Playground,* Dishwasher * Ice Maker * Stainless Steel Appliances * Microwave * Oven * Range * Refrigerator,* Air Conditioner * Bark Park * BBQ/Picnic Area * Bike Tune Up Room * Close to bike trails and walking paths * Club House Location * Conference Room * Dog Grooming Station * Electric Car charging station * Handicap Accessible * Mountain View * Off Street Parking * Park View * Pool View * Recycling * Vine Digital thermostats * Washer/Dryer,* High Speed Internet Access * Washer/Dryer * Air Conditioning,* Hardwood Floors,None,* Package Service * Maintenance on site * Property Manager on Site * Pet Play Area * Pet Washing Station * Car Charging Station * Public Transportation,* Built in 2018 * 374 Units/3 Stories,* Clubhouse,* Sundeck * Balcony * Patio
