Option Name,Contact,Address,Size_1Bedroom,Size_2Bedrooms,Rent,Rent_1Bedroom,Rent_2Bedrooms,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info
[Windsor at Pinehurst](https://www.apartments.com/windsor-at-pinehurst-lakewood-co/cbfpxqg/),844-874-8645,"[3950 S Wadsworth Blvd, Lakewood, CO 80235](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/3950+S+Wadsworth+Blvd,+Lakewood,+CO+80235/data=!4m2!4m1!3e2)",748 - 756 Sq Ft,"1,138 Sq Ft","$1,450 - 3,415",1450-2190,1740-2550,Dogs and Cats Allowed: Breed Restrictions apply. Akitas Alaskan Malamutes Chows Doberman Pinschers German Shepherds Mastiffs Pit Bulls Presa Canarios Rottweilers Shar Peis Siberian Huskies Staffordshire Terriers Wolf Hybrids or any variation or mixes of these breeds.  * $35 Monthly Pet Rent * $500 Fee * 2 Pet Limit,13.55 mi,23 mins,Garage: $150 1 space; Assigned Parking. Full size garage with storage and driveway space.,* Fitness Center * Spa * Pool,* Dishwasher * Disposal * Microwave,* Community Grills * Community Kitchen * Conference Room * Dark Wood Plank Style Flooring * Dog Park * Dog Wash * Electric Charging Stations * Garden Style Tub * Kitchen Islands* * Open-concept Kitchen * Private Balcony * Stainless Steel Appliances * Upgraded Entertainment Packages* * Walk In Closets * Walk In Shower* * Washer and Dryer included in Home * White Quartz Countertops * Yoga/Spin Studio,* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Ceiling Fans * Cable Ready,* Hardwood Floors * Carpet * Views,None,* Package Service * Laundry Facilities * Property Manager on Site,* Built in 2017 * 350 Units/3 Stories,* Business Center * Clubhouse,* Courtyard * Balcony
[RiDE at RiNo](https://www.apartments.com/ride-at-rino-denver-co/91441v7/),844-412-4801,"[3609 Wynkoop St, Denver, CO 80216](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/3609+Wynkoop+St,+Denver,+CO+80216/data=!4m2!4m1!3e2)",,,"$1,379 - 2,100",,,"Dogs Allowed We welcome furry family members! We currently do not have any size, age, or weight restrictions for your pup, but do have breed restrictions in accordance to local ordinance and laws. Please contact our team for specific restrictions.  * $100 Deposit * $39 Monthly Pet Rent * $250 Fee * 2 Pet Limit",1.95 mi,9 mins,Surface Lot: $90 Assigned Parking. Reserved Surface Lot is Limited,* Fitness Center * Walking/Biking Trails * Gameroom,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Stainless Steel Appliances * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 24-hour Fitness Center * Amazing Views* * Contemporary Finishes in Each Home * Courteous On-Site Management and Maintenance * Custom Local Artwork * DIY Bike Repair Station * Efficient Appliances * Efficient Studio and Live/Work Homes * EV Charging Stations * Furnished Apartments Available * High Ceilings * Lobby Lounge with Seating Areas * On-Site Storage Spaces Available * Oversized Windows * Patio/Balcony* * Pet Friendly * Private Conference Room Available * Relaxing Outdoor Lounging Spaces and BBQ Area * Resident Community Events & Programming * Sky Deck Rooftop Lounge * Smoke-Free Community * Top Floor Clubroom * Top Floor Community Social Space * Underground Parking * Wood-Style Plank or Polished Concrete Flooring*,* High Speed Internet Access * Air Conditioning * Heating * Smoke Free * Cable Ready * Storage Units * Tub/Shower * Sprinkler System * Wheelchair Accessible (Rooms),* Vinyl Flooring * Bay Window * Views * Double Pane Windows,"3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13",* Laundry Facilities * Controlled Access * Property Manager on Site * Furnished Units Available * Planned Social Activities * Car Charging Station,* Built in 2019 * 84 Units/5 Stories * Furnished,* Elevator * Clubhouse * Lounge * Multi Use Room * Storage Space * Disposal Chutes * Conference Room * Corporate Suites,* Roof Terrace * Grill * Balcony * Grill
[Parq at Iliff](https://www.apartments.com/parq-at-iliff-aurora-co/5ww9nvp/),844-259-6358,"[2602 S Anaheim St, Aurora, CO 80014](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/2602+S+Anaheim+St,+Aurora,+CO+80014/data=!4m2!4m1!3e2)",821 - 867 Sq Ft,"1,149 - 1,249 Sq Ft","$1,305 - 2,761",1305-2069,1845-2761,Dogs and Cats Allowed * $150 Deposit * $25 Monthly Pet Rent * $150 Fee * 2 Pet Limit,18.2 mi,24 mins,Garage and Other,* Fitness Center * Sauna * Pool * Playground * Media Center/Movie Theatre,* Stainless Steel Appliances * Pantry * Range,"* *Featured in Select Units * 100% Smoke Free * 1st Floor * 3rd Floor * 4th Floor * 9 foot ceilings * 9-Foot Ceilings * ADA * Additional Storage Lockers Available for Rent * Ample Parking* * Bicycle and Ski/Snowboard Repair Shop * Ceiling Fans * Central A/C and Heating * Central Park with Playground Structure * Commercial Laundry Rooms for Oversized Items * Contemporary Flat-Panel Cabinetry with Ample Pantry Storage * Corner Unit * Courtyard View * Designer Lighting Package * Direct Access Private Garages* * Faux Wood Horizontal Blinds over Energy-Efficient Dual-Pane Windows * Framed Custom Mirrors with Decorative Vanity Light Fixtures * Golf Simulator * Individual Storage Available * Lushly Landscaped Courtyard* * Luxury Wood-Style Flooring in Living Areas and Bathrooms * Mini Courtyard View * Moen (R)  Plumbing Fixtures * MoenÂ (R)  Plumbing Fixtures * Multimedia Conference Center * One-, Two- and Three-Bedroom Layouts * Online Leasing and Applications * On-Site Bicycle Storage Areas * Package Concierge Lockers * Parcel Pending Package Delivery System * Pet Salon – We Love Pets!* * Plush Carpeting in Bedrooms * Private Patios and Balconies* * Quartz Countertops * Rentable Space for Private Parties* * Resident Business Center and Conference Room with Co-Working Spaces * Resort-Quality Clubhouse with Flat-Screen TVs and Catering Kitchen for Private Parties and Commun... * Soaking Tubs with Tile Surrounds * Social Courtyard with BBQ Grills, Picnic Area and Fire Pits * Spacious Linen Cabinets and Walk-In Closets* * Spinning Studio with Fitness On-Demandâ¢ * Spoke/Ski Shop * Stacked Full-Size Washer and Dryers * Stainless Steel, Energy-Efficient Appliance Package * State-of-the-Art Fitness Center with Treadmills, Arc Trainers with embedded HDTVs, Free Weights a... * Tile Backsplashes * Undermount Stainless Steel Kitchen Sinks with Pull-Out Sprayer Faucet * Walk-In Showers with Semi-Frameless Glass Doors*",* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Handrails,* Hardwood Floors * Views * Walk-In Closets * Linen Closet,"10, 11, 12",* Wi-Fi at Pool and Clubhouse * Laundry Facilities * Maintenance on site * Property Manager on Site * Concierge,* Built in 2017 * 424 Units/3 Stories,* Clubhouse * Multi Use Room,* Grill * Picnic Area * Balcony * Patio
[Haven 124 At Eastlake Station](https://www.apartments.com/haven-124-at-eastlake-station-northglenn-co/d9k1g3k/),720-636-9792,"[12255 Claude Ct, Northglenn, CO 80241](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/12255+Claude+Ct,+Northglenn,+CO+80241/data=!4m2!4m1!3e2)",783 Sq Ft,"1,037 Sq Ft","$1,291 - 2,209",1291-1299,1451-1743,"Dogs and Cats Allowed: We welcome a maximum of 2 pets per apartment home. A non-refundable Pet Fee of $200 and a Pet Deposit of $200 are required per pet and are due at move-in. Monthly pet rent is $40 per pet. Breed restrictions apply. For more information, please call our leasing office.  * $400 Deposit * $80 Monthly Pet Rent * $200 - 400 Fee * 2 Pet Limit",13.5 mi,20 mins,"Surface Lot 1 space. Surface Lot, Covered Parking Available, Garages Available at $35. Please call for details.",* Fitness Center * Spa * Pool * Playground * Putting Greens * Media Center/Movie Theatre,* Dishwasher * Disposal * Ice Maker * Stainless Steel Appliances * Microwave * Refrigerator,,* Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower * Fireplace * Wheelchair Accessible (Rooms),* Hardwood Floors * Crown Molding * Walk-In Closets,None,* Package Service * Wi-Fi at Pool and Clubhouse * Property Manager on Site * Pet Care * Pet Play Area * Pet Washing Station,* Built in 2002 * 562 Units/3 Stories,* Business Center * Clubhouse,* Grill * Balcony * Patio
[Camden Lakeway](https://www.apartments.com/camden-lakeway-lakewood-co/0wh8vc1/),844-358-8406,"[7355 W Grant Ranch Blvd, Lakewood, CO 80123](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/7355+W+Grant+Ranch+Blvd,+Lakewood,+CO+80123/data=!4m2!4m1!3e2)",715 Sq Ft,935 Sq Ft,"$1,719 - 2,199",1719-2029,1859-2199,"Dogs and Cats Allowed: We welcome your cats and dogs, up to three pets per apartment, with no weight limit. *Breed restrictions apply. We do not permit American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier, any mix of the previous breeds, or any other dog or breed deemed aggressive. See management for pet approval and deposit and fee information.  * $35 Monthly Pet Rent * $400 Fee * 3 Pet Limit",15.799999999999999 mi,28 mins,Garage All apartments come with a garage and additional open parking is available for residents and visitors.,* Fitness Center,* Dishwasher * Ice Maker * Stainless Steel Appliances,* 24 hr. Game room * 24hr. Emergency maintenance * Bark park * BBQ area * Door-to-door trash pick up * Double-sink vanities * Game room * Garden tubs * Indoor sports court * Kitchen pantry * LED Light Fixtures * Linen closet * Microwaves * Olympic-size swimming pool * Online Maintenance Requests * Online Rent Payments * Patio/balcony * Pet-friendly * Resident business center * Saunas * Swimming pool with lake views * Whirlpool stainless steel appliances * Wi-Fi in common areas * Wood-style flooring,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Fireplace,* Walk-In Closets,"6 months,7 months,9 months,12 months,13 months",* Laundry Facilities,* Built in 1996 * 451 Units/1 Story,,* Balcony * Patio
[Platform at Union Station](https://www.apartments.com/platform-at-union-station-denver-co/n7dckep/),844-298-8112,"[1650 Wewatta St, Denver, CO 80202](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/1650+Wewatta+St,+Denver,+CO+80202/data=!4m2!4m1!3e2)",630 - 640 Sq Ft,"1,105 Sq Ft","$1,635 - 5,570",1655-4240,2840-5570,Dogs and Cats Allowed * $300 Deposit * $35 Monthly Pet Rent * 2 Pet Limit,0.7 mi,5 mins,Surface Lot and Garage,* Fitness Center * Spa * Pool,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Stainless Steel Appliances * Island Kitchen * Eat-in Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* 100% Smoke Free * 14th Level Pool Deck with Spa & BBQ Grills * 16th Floor * 17th Floor * 18th Floor * 19th Floor * 1BR Penthouse * 20th Floor * 21st Floor * 2BR Penthouse * 5th Floor * 5th Level Resident Courtyard with BBQ Grills * 6th Floor * 7th Floor * 8th Floor * 9th Floor * Air Conditioner * BBQ/Picnic Area * Bike Racks * Cable Ready * Ceiling Fan * Dishwasher * Disposal * Efficient Appliances * Electronic Thermostat * Ext Balcony * Extra Storage * Free Weights * Full-Size Washers & Dryers * Green Building * Hardwood Floors * High Ceilings * Large Closets * LEED (R)  Gold * LoDo Corner * Microwave * Mtn View * Off Street Parking * Outstanding Mountain Views * Oversized Windows * Package Receiving * Patio/Balcony * Pet Friendly * Recycling * Refrigerator * Resident Lounge & Gaming Area * RvrFrnt Corner * Sleek Quartz Counters with Tile Backsplas * Stdm/Rail View * Two Color Palette Options * Union/City View * Unparalleled City & Mountain Views * View * Washer/Dryer * Wheelchair Access * Window Coverings * Wrap Balcony * Yoga Studio,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Cable Ready * Satellite TV * Storage Units * Double Vanities * Tub/Shower * Sprinkler System,* Hardwood Floors * Carpet * Views * Walk-In Closets * Double Pane Windows * Window Coverings,"9, 10, 11, 12",* Package Service * Wi-Fi at Pool and Clubhouse * Controlled Access * Maintenance on site * Property Manager on Site * Concierge * 24 Hour Availability * Recycling * Renters Insurance Program * Dry Cleaning Service * Laundry Service * Maid Service * Grocery Service * Online Services * Composting * Planned Social Activities * Health Club Discount * Guest Apartment * Pet Washing Station * Car Charging Station * Public Transportation,* Built in 2015 * 287 Units/21 Stories * LEED Certified Gold * Energy Star Rated,* Elevator * Business Center * Clubhouse * Breakfast/Coffee Concierge * Disposal Chutes * Conference Room,* Gated * Roof Terrace * Sundeck * Cabana * Courtyard * Grill * Balcony * Patio * Deck * Grill
[AMLI Cherry Creek](https://www.apartments.com/amli-cherry-creek-denver-co/lhjxy5d/),844-845-5520,"[801 S Cherry St, Denver, CO 80246](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/801+S+Cherry+St,+Denver,+CO+80246/data=!4m2!4m1!3e2)",572 Sq Ft,"1,069 Sq Ft","$1,510 - 3,758",1510-2507,1915-3162,Dogs Allowed * $200 Deposit * $25 Monthly Pet Rent * $250 Fee * 75 lb Weight Limit * 2 Pet Limit,5.95 mi,19 mins,,* Fitness Center * Gameroom,* Dishwasher * Stainless Steel Appliances * Island Kitchen * Range,* 24/7 dry cleaning drop off & pick up * 24/7 resident business center * 24-Hour Dry Cleaning Service * Barbecues & picnic areas * BBQ/Picnic Area * Bike/Ski Repair Room * Bike/ski/snowboard repair room * Breatheasy smoke-free community * BreatheasyÂ (R)  smoke-free community * Controlled Access * Custom cabinetry * Designer light fixtures * Designer Tile Backsplash * Designer tile backsplashes * Dog Park * Dog Wash * Dual Sink Bathrooms * Expansive clubhouse with 24/7 java bar * Firepit * Fully equipped island kitchens * Game Area * Game lounge with ping pong and four flat screen TV's * Garden Tub * Garden Tubs * Glass walk in showers * Hard Surface CounterTops * Individual Climate Control * Kitchen Island * LEED GOLD Certified community * LEEDÂ (R)  GOLD Certified community * NightPatrol * On-Demand Fitness Classes * Other * Outdoor demonstration kitchen * Oversized windows * Over-Sized Windows * Parking * Patio/Balcony * Private Patios * Resident package receiving * Resort style swimming pool with baja shelf * Service * Side by side refrigerators with water/ice dispensers * Smoke-Free * Soothing spa * Spin Studio * Stainless Steel Appliances * Stainless Steel ENERGY STAR appliances * Storage rooms available * Walk in Closet * Washer/Dryer in Unit * Wood Style flooring in living areas * Yoga Room,* Washer/Dryer * Heating * Ceiling Fans * Smoke Free * Storage Units * Double Vanities * Fireplace,* Walk-In Closets,,* Guest Apartment * Pet Care * Pet Play Area * Pet Washing Station,* Built in 2016 * 339 Units/4 Stories,,* Gated * Balcony * Patio * Grill
[Broadstone on Ninth (9th)](https://www.apartments.com/broadstone-on-ninth-9th-denver-co/9mhm1d4/),844-302-2577,"[4300 E 9th Ave, Denver, CO 80220](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/4300+E+9th+Ave,+Denver,+CO+80220/data=!4m2!4m1!3e2)",538 Sq Ft,915 Sq Ft,"$1,515 - 3,671",1515-3671,1915-3261,Dogs and Cats Allowed * $200 Deposit * $35 Monthly Pet Rent * $200 - 300 Fee * 2 Pet Limit,4.5 mi,19 mins,Surface Lot: $35 1 space.,* Fitness Center * Pool,* Dishwasher * Disposal * Ice Maker * Granite Countertops * Stainless Steel Appliances * Pantry * Eat-in Kitchen * Kitchen * Microwave * Oven * Range * Refrigerator * Freezer,* Cyber Cafe with full Demonstration Kitchen * Fireside Destinations * Front Loading Washers and Dryers * Gather – Community Lounge & Cyber Café * Greet – Welcoming Lobby * Greet â Welcoming Lobby * Large Windows * Library Retreat * Minutes from Downtown and Cherry Creek * Modern Apartments and Townhomes * Multimedia Lounge * Post – Mail Room * Post â Mail Room * Premium Lighting Fixtures * Quartz Countertops * Resort Style Pool and Spa * Scene – TV/Theater Lounge * Spacious walk-in closets * Stainless Steel Appliances * Stretch – Yoga Room * Stretch â Yoga Room * Tile Backsplash * Two Story Fitness Club * Walk to Restaurants and Shopping * we love pets,* High Speed Internet Access * Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Cable Ready * Tub/Shower * Wheelchair Accessible (Rooms),* Hardwood Floors * Carpet * Tile Floors * Vaulted Ceiling * Views * Walk-In Closets,"10, 11, 12, 13",,* Built in 2015 * 324 Units/4 Stories,* Business Center * Clubhouse * Lounge * Conference Room,* Balcony * Porch * Lawn * Grill
[AMLI Denargo Market](https://www.apartments.com/amli-denargo-market-denver-co/h1b8k53/),844-855-8632,"[2525 Wewetta Way, Denver, CO 80216](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/2525+Wewetta+Way,+Denver,+CO+80216/data=!4m2!4m1!3e2)",584 Sq Ft,"1,548 Sq Ft","$1,683 - 4,005",1683-3326,2202-4005,"Dogs and Cats Allowed Pets are limited by size and breed. Max number of 2 pets per apartment. A pet deposit, fee and rent may be required. Please contact office for details.  * $250 Deposit * $25 Monthly Pet Rent * 75 lb Weight Limit * 2 Pet Limit",1.1 mi,6 mins,Surface Lot 1 space; Assigned Parking.,* Fitness Center * Pool,* Dishwasher * Disposal * Stainless Steel Appliances * Island Kitchen * Microwave * Oven * Range * Refrigerator,* 24 hr fitness center * Airy 10â² ceilings * Breath easyÂ (R)  smoke-free community * Butcher block kitchen islands with pendant lighting* * Enclosed bicycle parking with controlled access * Individual Climate Control * Modern kitchens with ENERGY STARÂ (R)  stainless steel appliances * NightPatrol * Other * Outdoor living and dining area with wet bar and demonstration kitchen * Sleek custom cabinetry * Spacious custom closets with wood shelving* * Under-Cabinet Lighting * Year-round pool and spa,* Washer/Dryer * Air Conditioning * Heating * Ceiling Fans * Smoke Free * Wheelchair Accessible (Rooms),* Vaulted Ceiling * Walk-In Closets,,* Trash Pickup - Door to Door,* Built in 2016 * 321 Units/5 Stories * Energy Star Rated,* Elevator * Business Center * Clubhouse * Lounge * Disposal Chutes * Conference Room,* Courtyard * Balcony * Patio * Grill
[Bell Flatirons](https://www.apartments.com/bell-flatirons-superior-co/ql1n8jw/),844-612-4186,"[2200 S Tyler Dr, Superior, CO 80027](https://www.google.com/maps/dir/1634+18th+St,+Denver,+CO+80202/2200+S+Tyler+Dr,+Superior,+CO+80027/data=!4m2!4m1!3e2)",736 Sq Ft,"1,073 Sq Ft","$1,345 - 5,665",1458-3442,1685-4378,Dogs and Cats Allowed: Breed Restrictions Apply  * $100 Deposit * $40 Monthly Pet Rent * $300 Fee * 3 Pet Limit,18.35 mi,26 mins,Garage,* Fitness Center * Pool * Playground * Basketball Court * Racquetball Court * Tennis Court * Volleyball Court * Walking/Biking Trails * Media Center/Movie Theatre,* Dishwasher * Disposal * Granite Countertops * Microwave * Refrigerator,"* 13 Acre lake with large beach and dock * 2 Guest Suites * 24-Hour Fitness Center * 4 Swimming Pools and 3 Outdoor Hot Tubs * Additional Storage* * Beach Volleyball Court * Beautiful Plank Flooring* * Breathtaking Mountain, Pool, and Lake Views * Breathtaking views of the Boulder Flatirons * Built-in Bookshelves and Window Seats* * Canoes and kayaks for use on the lake * Catch and release fishing on our private lake * Ceiling Fans in Bedrooms* * Ceiling Fans in Living Room* * Cherry Stained Cabinetry* * Close to Interlocken Business Park * Clubroom with Panoramic Views of the Lake * Concierge Services including Packages Lockers * Continental breakfast every Sunday morning * Conveniently located near Highway 36 * Corporate Furnished Homes * Custom Lighting Package * Fire pit and outdoor grilling station * Granite Countertops* * Hassle Free Transfer Program * Heated Jacuzzi * Heated Jacuzzi and Dry-Heat Sauna * Indoor and outdoor basketball courts * Java Lounge with Free Wi-Fi * Movie theater with stadium-style seating * Open space with trails, disc golf and pet park nex * Preferred Employer Available * Prestigious Boulder Valley School District * Private Attached/Detached Garages * Private Patio or Balcony * Resident Lounge with free WiFi * Sand Volleyball Court * Smooth Cook Top Stoves and Built In Microwave * Spacious Floor plans with Den Options* * Stainless Steel Appliances* * Stunning Views of the Flatirons Mountains * Two lighted tennis courts * Two racquetball courts * Walking and Biking Paths * Washer and Dryer In All Homes * Within walking distance of Flatiron Crossing Shopp",* High Speed Internet Access * Wi-Fi * Washer/Dryer * Air Conditioning * Ceiling Fans * Storage Units,* Views * Walk-In Closets * Furnished * Window Coverings,None,* Package Service * Maintenance on site * Property Manager on Site * Concierge * 24 Hour Availability * Furnished Units Available * Guest Apartment,* Built in 1998 * 1209 Units/3 Stories * Furnished,* Business Center * Clubhouse * Lounge * Storage Space,* Sundeck * Grill * Waterfront * Balcony * Patio
